,Topic,Count,Name,Representation,Representative_Docs
0,-1,4885,-1_درخواست_به_در_از,"['درخواست', 'به', 'در', 'از', 'های', 'اعتراض', 'برای', 'دانشگاه', 'رسیدگی', 'حذف']","['  درخواست اضافه نمودن رشته مامایی به آزمون\u200cهای استخدامی کشور و آزمون\u200cهای آموزش و پرورش', '  اعتراض دانشجویان دانشگاه علوم پزشکی بوشهر نسبت به شیوه\u200cنامه آزمون\u200cهای برخط وزارت بهداشت', '  اعتراض به اجرای شیوه\u200cنامه آزمون\u200cهای برخط وزارت بهداشت، درمان و آموزش پزشکی در دانشگاه علوم پزشکی آبادان']"
1,0,389,0_در_حقوق_جلوگیری_تبعیض,"['در', 'حقوق', 'جلوگیری', 'تبعیض', 'افزایش', 'پرداخت', 'عدالت', 'شاغل', 'اعتراض', 'دولتی']","['  درخواست عدالت در پرداخت حقوق کارمندان وزارت کشور', '  درخواست عدالت در پرداخت حقوق کارمندان دولت', '  درخواست بازنگری در افزایش حقوق کارمندان دولت با توجه به افزایش قیمت\u200cها در سال ۱۴۰۱']"
2,1,272,1_حمایت_بیماران_واکسن_داروی,"['حمایت', 'بیماران', 'واکسن', 'داروی', 'از', 'زنان', 'کودکان', 'داروهای', 'اختصاص', 'سرپرست']","['  درخواست واردات داروی بیماران sma', '  درخواست تولید یا واردات داروی بیماران sma', '  درخواست حمایت از بیماران خاص']"
3,2,245,2_امتحانات_ترم_حضوری_برگزاری,"['امتحانات', 'ترم', 'حضوری', 'برگزاری', 'غیرحضوری', 'کلاس', 'دانشگاه', 'صورت', 'مجازی', 'پایان']","['  درخواست برگزاری امتحانات پایان ترم دانشگاه فرهنگیان به صورت غیرحضوری', '  مخالفت با حضوری شدن کلاس\u200cها و امتحانات پایان\u200cترم دانشگاه\u200cها', '  درخواست برگزاری امتحانات پایان\u200cترم دانشگاه\u200cها به صورت مجازی']"
4,3,222,3_تصویب_تشکیل_قانون_قوانین,"['تصویب', 'تشکیل', 'قانون', 'قوانین', 'تأسیس', 'صدور', 'حیوان', 'اصلاح', 'آزاری', 'حیوانات']","['  درخواست وضع و تصویب قانون منع حیوان آزاری و مجازات آن', '  تقاضای تصویب قانون مجازات حیوان آزاری', '  مطالبه تصویب قوانین مجازات برای حیوان آزاری']"
5,4,206,4_سگ_جلوگیری_نجات_دریاچه,"['سگ', 'جلوگیری', 'نجات', 'دریاچه', 'تالاب', 'کشتار', 'احیای', 'ارومیه', 'جمع', 'آوری']","['  درخواست نجات دریاچه ارومیه', '  درخواست نجات دریاچه ارومیه', '  درخواست جمع\u200cآوری سگ\u200cهای ولگرد']"
6,5,190,5_جاده_آسفالت_تعریض_دوبانده,"['جاده', 'آسفالت', 'تعریض', 'دوبانده', 'روستای', 'روستاهای', 'کردن', 'راه', 'آباد', 'شهرستان']","['  درخواست بازسازی آسفالت خیابان\u200cهای خرم\u200cآباد و جاده\u200cهای استان لرستان', '  درخواست ترمیم آسفالت جاده سبزوار به مشهد', '  درخواست بهسازی آسفالت جاده\u200cها']"
7,6,175,6_رسیدگی_وضعیت_آلودگی_هوای,"['رسیدگی', 'وضعیت', 'آلودگی', 'هوای', 'سهامداران', 'به', 'مشکلات', 'شرکت', 'معیشتی', 'سهام']","['  درخواست رسیدگی به وضعیت شرکت سرمایه\u200cگذاری کشاورزی ایران', '  درخواست رسیدگی به وضعیت آلودگی هوا', '  درخواست رسیدگی به وضعیت جاده\u200cهای کشور']"
8,7,169,7_اینترنت_روستای_4g_مشکل,"['اینترنت', 'روستای', '4g', 'مشکل', 'پوشش', 'برقراری', 'شهرستان', 'اتصال', 'آب', 'آنتن']","['  درخواست رسیدگی به مشکل پوشش اینترنت روستای گروک  بخش مرکزی شهرستان مهرستان', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای کاشکایی شهرستان مهرستان', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای پیر شهرستان سرباز']"
9,8,168,8_بازنشستگان_حقوق_اجتماعی_تأمین,"['بازنشستگان', 'حقوق', 'اجتماعی', 'تأمین', 'افزایش', 'همسان', 'سازی', 'پرداخت', 'پاداش', 'کارمندان']","['  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی', '  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی', '  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی']"
