,Topic,Count,Name,Representation,Representative_Docs
0,-1,4954,-1_درخواست_به_در_از,"['درخواست', 'به', 'در', 'از', 'های', 'اعتراض', 'برای', 'دانشگاه', 'با', 'رسیدگی']","['  درخواست رسیدگی به وضعیت معیشتی اساتید و کارکنان و بازنشستگان دانشگاه آزاد کل کشور', '  درخواست آموزش مجازی در دانشگاه\u200cها', '  اعتراض و مخالفت با برگزاری امتحانات حضوری ورودی\u200cهای ۹۹ دانشگاه فرهنگیان']"
1,0,567,0_دکتر_آقای_جناب_ریاست,"['دکتر', 'آقای', 'جناب', 'ریاست', 'حمایت', 'از', 'جمهوری', 'دعوت', 'عنوان', 'انتخابات']","['  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری ۱۴۰۰', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری', '  دعوت جامعه حقوقی از جناب آقای دکتر سعید محمد برای حضور در انتخابات ریاست جمهوری']"
2,1,471,1_تبدیل_بازنشستگان_وضعیت_نیروهای,"['تبدیل', 'بازنشستگان', 'وضعیت', 'نیروهای', 'شرکتی', 'تأمین', 'اجتماعی', 'کارکنان', 'العاده', 'حقوق']","['  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی', '  تقاضای تبدیل وضعیت نیروهای شرکتی', '  درخواست  برقراری فوق\u200cالعاده خاص و  تبدیل وضعیت نیروهای قراردادی، شرکتی و طرحی وزارت بهداشت']"
3,2,427,2_حمایت_برخورد_از_تصویب,"['حمایت', 'برخورد', 'از', 'تصویب', 'مجازات', 'تشکیل', 'درخواست', 'احقاق', 'با', 'حیوان']","['  مطالبه تصویب قوانین مجازات برای حیوان آزاری', '  درخواست تصویب قوانین حمایت از حیوانات', '  تقاضای تصویب قانون حمایت از حقوق حیوانات']"
4,3,419,3_دانشگاه_آزاد_امتحانات_دانشجویان,"['دانشگاه', 'آزاد', 'امتحانات', 'دانشجویان', 'برگزاری', 'ترم', 'شهریه', 'علوم', 'مجازی', 'حضوری']","['  درخواست برگزاری امتحانات پایان\u200cترم دانشگاه\u200cها به صورت مجازی', '  درخواست مجازی شدن امتحانات دانشگاه آزاد اسلامی', '  درخواست برگزاری غیرحضوری امتحانات پایان ترم دانشگاه آزاد اسلامی']"
5,4,308,4_جاده_روستای_اینترنت_آسفالت,"['جاده', 'روستای', 'اینترنت', 'آسفالت', 'شهرستان', '4g', 'توابع', 'تعریض', 'مشکل', 'برقراری']","['  درخواست برقراری اتصال اینترنت پرسرعت 4G در روستاهای سرباز', '  درخواست بهسازی آسفالت جاده\u200cها', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای گروک  بخش مرکزی شهرستان مهرستان']"
6,5,289,5_رسیدگی_وضعیت_مسکن_به,"['رسیدگی', 'وضعیت', 'مسکن', 'به', 'مشکلات', 'آب', 'شرب', 'آلودگی', 'شهر', 'هوای']","['  تقاضای رسیدگی به وضعیت مسکن ملی ساوه', '  درخواست رسیدگی به مشکلات شهر کرج', '  درخواست رسیدگی به وضعیت جاده\u200cهای کشور']"
7,6,278,6_در_بلوچستان_سیستان_حوزه,"['در', 'بلوچستان', 'سیستان', 'حوزه', 'انتخابیه', 'جلوگیری', 'استان', 'بنزین', 'تخلفات', 'شهرستان']","['  اعتراض به تقسیم استان سیستان و بلوچستان', '  درخواست افزایش سوخت بنزین در سیستان و بلوچستان', '  درخواست اصلاح سهمیه بنزین سیستان و بلوچستان']"
8,7,272,7_سربازی_واردات_خودرو_مالیات,"['سربازی', 'واردات', 'خودرو', 'مالیات', 'اینترنتی', 'اصلاح', 'مجوز', 'درخواست', 'تاکسی', 'صدور']","['  درخواست لغو محدودیت\u200cهای واردات خودرو', '  درخواست لغو ممنوعیت واردات خودرو', '  درخواست حمایت از واردات خودرو']"
9,8,271,8_در_آزمون_استخدامی_حقوق,"['در', 'آزمون', 'استخدامی', 'حقوق', 'رشته', 'افزایش', 'نظر', 'تجدید', 'عدالت', 'امتیاز']","['  اعتراض به نحوه محاسبه امتیاز کرونا در آزمون استخدامی وزارت بهداشت', '  درخواست بازنگری در افزایش حقوق کارمندان دولت با توجه به افزایش قیمت\u200cها در سال ۱۴۰۱', '  درخواست تجدید نظر در افزایش حقوق ۱۸ درصدی کارکنان دولت در سال ۱۴۰۳']"
10,9,250,9_آزمون_تعویق_کنکور_رشته,"['آزمون', 'تعویق', 'کنکور', 'رشته', 'ظرفیت', 'یازدهم', 'نهایی', 'سوالات', 'ارشد', 'اعتراض']","['  درخواست تعویق کنکور کارشناسی ارشد وزارت بهداشت و علوم ۱۴۰۱', '  درخواست تعویق آزمون ارشد ۱۴۰۱', '  درخواست تعویق آزمون استخدامی وزارت بهداشت']"
11,10,244,10_سگ_جلوگیری_نجات_دریاچه,"['سگ', 'جلوگیری', 'نجات', 'دریاچه', 'تالاب', 'کشتار', 'از', 'تخریب', 'سد', 'وحش']","['  کمپین درخواست توقف کشتار سگ\u200cها', '  درخواست حمایت از سگ\u200cهای بلاصاحب و توقف سگ\u200cکشی', '  درخواست جمع\u200cآوری سگ\u200cها و ممنوعیت سگ\u200cگردانی']"
12,11,195,11_پرورش_آموزش_استخدام_استخدامی,"['پرورش', 'آموزش', 'استخدام', 'استخدامی', 'دبستانی', 'نیروهای', 'جذب', 'آزمون', 'مربیان', 'پیش']","['  درخواست افزایش ظرفیت آزمون استخدامی آموزش و پرورش', '  درخواست تعویق آزمون استخدامی آموزش و پرورش', '  درخواست تعویق آزمون استخدامی آموزش و پرورش']"
13,12,156,12_احداث_بیمارستان_در_ساخت,"['احداث', 'بیمارستان', 'در', 'ساخت', 'شهر', 'ایجاد', 'شهرستان', 'استقرار', 'چمن', 'ورزشی']","['  درخواست تاسیس بیمارستان تأمین اجتماعی در خمینی\u200cشهر', '  درخواست احداث زمین فوتبال چمن مصنوعی در  روستای مورت', '  مطالبه احداث بیمارستان در شهر پیشوا']"
14,13,140,13_بیماران_واکسن_کرونا_داروی,"['بیماران', 'واکسن', 'کرونا', 'داروی', 'بیماری', 'اولویت', 'داروهای', 'گرفتن', 'قرار', 'ویروس']","['  درخواست در اولویت قرار گرفتن رانندگان ماشین\u200cهای سنگین برای واکسن کرونا', '  درخواست در اولویت قرار گرفتن دانش\u200cآموزان برای دریافت واکسن کرونا', '  درخواست در اولویت قرار گرفتن معلمان برای دریافت واکسن']"
15,14,129,14_رئیس_جمهور_قوه_قضائیه,"['رئیس', 'جمهور', 'قوه', 'قضائیه', 'شهردار', 'محترم', 'وزیر', 'از', 'برکناری', 'استاندار']","['  اعتراض به عملکرد رئیس جمهور', '  درخواست کمک داروسازان از رئیس جمهور محترم', '  درخواست از رئیس محترم جمهور برای انتصاب وزیر کشاورزی']"
16,15,125,15_اعتراض_خودرو_تحویل_خودروی,"['اعتراض', 'خودرو', 'تحویل', 'خودروی', 'قیمت', 'سایپا', 'عدم', 'تأخیر', 'به', 'شرکت']","['  اعتراض به تأخیر تحویل خودرو های مدیران خودرو', '  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو', '  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو']"
17,16,122,16_ماده_قانون_بند_دیوان,"['ماده', 'قانون', 'بند', 'دیوان', 'اجرای', 'تبصره', 'اداری', 'عدالت', 'مجلس', 'شورای']","['  درخواست اجرای کسر خدمت فرزندان ایثارگران بر اساس تبصره ۲ بند ت ماده ۳۱ برنامه هفتم توسعه', '  درخواست اجرای دقیق اصل ۱۴۱ قانون اساسی و بند ب ماده ۵۵ برنامه هفتم توسعه', '  درخواست اصلاح تبصره ۳ ماده ۶۸ قانون انتخابات مجلس شورای اسلامی']"
18,17,108,17_مهندسی_نظام_ساختمان_تعرفه,"['مهندسی', 'نظام', 'ساختمان', 'تعرفه', 'رشته', 'خدمات', 'سازمان', 'ای', 'فنی', 'الزحمه']","['  درخواست پذیرش رشته مهندسی فضای سبز در نظام مهندسی ساختمان', '  درخواست اصلاح تعرفه\u200cهای مهندسین سازمان نظام مهندسی', '  درخواست بازگشت رشته مهندسی مدیریت پروژه به نظام مهندسی']"
19,18,106,18_تعطیلی_ساعت_کاری_هفته,"['تعطیلی', 'ساعت', 'کاری', 'هفته', 'ادارات', 'پنجشنبه', 'شنبه', 'ها', 'مدارس', 'دو']","['  درخواست تعطیلی  پنجشنبه\u200cها در ادارات دولتی', '  درخواست تعطیلی ادارات شهرستان\u200cها در روز پنجشنبه', '  درخواست کاهش ساعت کاری و تعطیلی پنجشنبه ها']"
20,19,99,19_سابقه_سنوات_سال_بیمه,"['سابقه', 'سنوات', 'سال', 'بیمه', 'احتساب', 'بازنشستگی', 'سوابق', 'دانشجویی', 'خرید', 'دوران']","['  درخواست ایجاد امکان خرید سابقه بیمه دانشجویی برای فارغ\u200cالتحصیلان سنوات قبل', '  درخواست احتساب سابقه بیمه دوران دانشجویی برای فارغ\u200cالتحصیلان', '  درخواست احتساب سابقه بیمه دوران دانشجویی']"
21,20,90,20_ین_امضا_کمپین_جمع,"['ین', 'امضا', 'کمپین', 'جمع', 'آوری', 'های', '', '', '', '']","['ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا']"
22,21,85,21_کنسرت_صدا_سریال_مراسم,"['کنسرت', 'صدا', 'سریال', 'مراسم', 'پخش', 'شبکه', 'سیما', 'برنامه', 'برگزاری', 'تلویزیونی']","['  درخواست لغو کنسرت علیرضا قربانی در تخت جمشید', '  درخواست صدور مجوز برگزاری کنسرت در مشهد', '  درخواست لغو برگزاری کنسرت علیرضا قربانی در تخت جمشید']"
23,22,84,22_فیلتر_رفع_فیلترینگ_تلگرام,"['فیلتر', 'رفع', 'فیلترینگ', 'تلگرام', 'رسان', 'یوتیوب', 'اینترنت', 'دیسکورد', 'بازی', 'شبکه']","['  درخواست رفع فیلتر تلگرام', '  درخواست رفع فیلتر تلگرام', '  درخواست رفع فیلتر تلگرام']"
24,23,73,23_مرکزیت_الحاق_استان_تشکیل,"['مرکزیت', 'الحاق', 'استان', 'تشکیل', 'شهرستان', 'بخش', 'شهر', 'به', 'بزرگ', 'جدایی']","['  درخواست لغو تشکیل استان کرمان جنوبی با مرکزیت جیرفت', '  درخواست تشکیل استان خراسان مرکزی با مرکزیت شهرستان تربت حیدریه', '  درخواست تشکیل استان خراسان مرکزی به مرکزیت نیشابور بزرگ']"
25,24,66,24_نام_احداث_خیابان_تقاطع,"['نام', 'احداث', 'خیابان', 'تقاطع', 'خط', 'میدان', 'گذاری', 'پل', 'بزرگراه', 'شیراز']","['  درخواست نام\u200cگذاری بزرگراه شیراز، فیروزآباد، جم به نام شهدای قشقایی', '  درخواست نام گذاری یکی از خیابان های زاهدان به نام شهید جمهور', '  عدم لزوم احداث تقاطع غیر همسطح بزرگراه شهید باقری و خیابان ۱۹۶ غربی']"
26,25,63,25_نه_به_حیوانات_آری,"['نه', 'به', 'حیوانات', 'آری', 'غیربومی', 'ای', 'سگ', 'کشی', 'وحش', 'پتروشیمی']","['  نه به سگ\u200cکشی', '  نه به سگ کشی', '  نه به فروش حیوانات']"
27,26,63,26_تیم_فوتبال_باشگاه_پرسپولیس,"['تیم', 'فوتبال', 'باشگاه', 'پرسپولیس', 'استقلال', 'هواداران', 'فدراسیون', 'تاج', 'سرمربی', 'ملی']","['  درخواست تغییر کادر فنی تیم فوتبال پرسپولیس', '  درخواست حمایت دولت از باشگاه فوتبال استقلال', '  درخواست حمایت از تیم فوتبال پرسپولیس']"
28,27,55,27_اتباع_مجاز_خارج_غیر,"['اتباع', 'مجاز', 'خارج', 'غیر', 'اخراج', 'افغان', 'افغانستانی', 'خروج', 'مهاجرین', 'مهاجران']","['  درخواست اخراج اتباع غیر قانونی افغان از ایران', '  درخواست اخراج اتباع افغان غیر مجاز از کشور', '  درخواست کنترل ورود اتباع غیر مجاز افغانستانی و ساماندهی مهاجران غیرقانونی در ایران']"
29,28,54,28_سخت_مشاغل_زیان_آور,"['سخت', 'مشاغل', 'زیان', 'آور', 'شغل', 'زمره', 'قرار', 'گرفتن', 'قرارگرفتن', 'احتساب']","['  حمایت از احتساب شغل رانندگان کامیون در زمره مشاغل سخت و زیان\u200cآور', '  درخواست قرارگرفتن شغل حسابداری در زمره مشاغل سخت و زیان\u200cآور', '  مطالبه قرار گرفتن شغل کارشناسان بهداشت محیط در زمره مشاغل سخت و زیان\u200cآور']"
30,29,42,29_پویش_کمپین_انتقام_من,"['پویش', 'کمپین', 'انتقام', 'من', 'دارم', 'همبستگی', 'ایران', 'زنده', 'یک', 'می']","['  پویش «من روزی یک زباله از روی زمین برمی\u200cدارم، چون ایران را دوست دارم»', '  پویش فریاد انتقام', '  پویش انتقام سخت']"
31,30,41,30_مترجمان_out_توافق_نامه,"['مترجمان', 'out', 'توافق', 'نامه', 'دولت', 'ایران', '', '', '', '']","['  دولت ایران', '  توافق\u200cنامه مترجمان', 'out']"
32,31,32,31_معظم_رهبر_رهبری_مقام,"['معظم', 'رهبر', 'رهبری', 'مقام', 'انقلاب', 'حکومتی', 'حکم', 'دیدار', 'از', 'حضرت']","['  درخواست حکم حکومتی برای لغو مصوبه کنکور توسط رهبر معظم انقلاب', '  درخواست دیدار ایثارگران با مقام معظم رهبری', '  درخواست از مقام معظم رهبری برای رسیدگی به مشکلات ایثارگران']"
33,32,30,32_قاسم_حاج_محکومیت_بیانیه,"['قاسم', 'حاج', 'محکومیت', 'بیانیه', 'سلیمانی', 'شهید', 'شهادت', 'فخری', 'ترور', 'پیامبر']","['  بیانیه اساتید، دانشمندان، دانشگاهیان و پژوهشگران کشور در محکومیت ترور شهید فخری\u200cزاده', '  بیانیه اساتید دانشگاه\u200cهای آزاد اسلامی استان لرستان در محکومیت ترور دانشمند هسته\u200cای شهید والامقام محسن فخری\u200cزاده', '  محکومیت ترور سردار دل\u200cها، حاج قاسم سلیمانی']"
34,33,29,33_امام_ره_خمینی_عفاف,"['امام', 'ره', 'خمینی', 'عفاف', 'حجاب', 'رضا', 'بندر', 'بسیج', 'مناسبت', 'بسیجیان']","['  درخواست موافقت با شهرستان\u200c شدن بندر امام خمینی (ره)', '  درخواست اعلام شهرستان شدن بندر امام خمینی (ره)', '  مطالبه شهرستان شدن بخش بندر امام خمینی (ره)']"
35,34,27,34_بازار_بورس_سرمایه_معاملات,"['بازار', 'بورس', 'سرمایه', 'معاملات', 'دامنه', 'نوسان', 'بهادار', 'اوراق', 'اولیه', 'عرضه']","['  درخواست نظارت مجلس بر بازار بورس', '  درخواست حذف کامل دامنه نوسان و حجم مبنا در معاملات بازار بورس', '  اعتراض سهامداران بازار سرمایه به دستوری بودن بازار و درخواست برکناری مدیران سازمان بورس']"
36,35,26,35_روز_تقویم_ثبت_عنوان,"['روز', 'تقویم', 'ثبت', 'عنوان', 'ملی', 'اردیبهشت', 'رسمی', 'زادروز', 'بزرگداشت', 'هفتم']","['  درخواست ثبت هفتم آبان ماه روز بزرگداشت کوروش بزرگ در تقویم رسمی کشور', '  درخواست ثبت  ۲۵ خرداد ماه  به عنوان روز ملی گل در تقویم رسمی کشور', '  درخواست ثبت روز ملی محیط\u200cبان در تقویم رسمی کشور']"
