,Topic,Count,Name,Representation,Representative_Docs
0,-1,4714,-1_درخواست_به_در_از,"['درخواست', 'به', 'در', 'از', 'های', 'اعتراض', 'برای', 'دانشگاه', 'با', 'رسیدگی']","['  اعتراض به نحوه برگزاری آزمون\u200cهای آنلاین دانشگاه علوم پزشکی بوشهر', '  اعتراض به سهمیه\u200cهای آزمون ورودی دانشگاه\u200cهای دولتی', '  اعتراض به توقف طرح پرداخت حقوق به دانشجویان دکتری وزارت علوم']"
1,0,1590,0_درخواست_افزایش_حقوق_نیروهای,"['درخواست', 'افزایش', 'حقوق', 'نیروهای', 'تبدیل', 'به', 'وضعیت', 'بازنشستگان', 'کارکنان', 'های']","['  درخواست تبدیل وضعیت نیروهای شرکتی شهرداری\u200cهای کشور', '  درخواست عدم همکاری بازنشستگان با آموزش و پرورش برای تبدیل وضعیت نیروهای خرید خدمات', '  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی']"
2,1,901,1_شهرستان_روستای_جاده_درخواست,"['شهرستان', 'روستای', 'جاده', 'درخواست', 'اینترنت', 'استان', 'احداث', 'به', 'آسفالت', 'شهر']","['  درخواست رسیدگی به مشکل پوشش اینترنت روستای کوش شهرستان سرباز', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای اشکستگ شهرستان سرباز', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای پیر شهرستان سرباز']"
3,2,829,2_رسیدگی_درخواست_از_به,"['رسیدگی', 'درخواست', 'از', 'به', 'سگ', 'حمایت', 'وضعیت', 'های', 'مسکن', 'برخورد']","['  تقاضای تصویب قانون حمایت از حقوق حیوانات', '  درخواست برخورد جدی و قاطع با حیوان\u200cآزار و گربه\u200cکش تبریز و تصویب قانون حمایت از حیوانات', '  درخواست حمایت از سگ\u200cهای بی\u200cسرپرست']"
4,3,687,3_در_درخواست_مهندسی_های,"['در', 'درخواست', 'مهندسی', 'های', 'نظام', 'به', 'از', 'رشته', 'اعتراض', 'حقوق']","['  درخواست پیگیری در خصوص برگزاری انتخابات شورای مرکزی سازمان نظام مهندسی کشور', '  درخواست پذیرش رشته مهندسی طراحی محیط\u200cزیست در نظام مهندسی', '  درخواست بازنگری در افزایش حقوق کارمندان دولت با توجه به افزایش قیمت\u200cها در سال ۱۴۰۱']"
5,4,679,4_دانشگاه_امتحانات_آزمون_برگزاری,"['دانشگاه', 'امتحانات', 'آزمون', 'برگزاری', 'آزاد', 'دانشجویان', 'علوم', 'به', 'ترم', 'کنکور']","['  اعتراض به حضوری شدن آزمون پایان\u200cترم ارشد دانشگاه پیام نور و سایر دانشگاه\u200cها', '  درخواست برگزاری غیرحضوری امتحانات پایان ترم کارشناسی ارشد دانشگاه آزاد', '  درخواست برگزاری مجازی آزمون\u200cهای پایان ترم دانشگاه آزاد']"
6,5,596,5_دکتر_آقای_جناب_از,"['دکتر', 'آقای', 'جناب', 'از', 'حمایت', 'ریاست', 'عنوان', 'جمهوری', 'انتخابات', 'دعوت']","['  دعوت دانشجویان استان خراسان رضوی از آقای دکتر سعید جلیلی برای انتخابات ریاست جمهوری ۱۴۰۳', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری ۱۴۰۰', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری']"
7,6,309,6_ماده_رئیس_قانون_از,"['ماده', 'رئیس', 'قانون', 'از', 'درخواست', 'بند', 'وزیر', 'معظم', 'اجرای', 'دیوان']","['  درخواست از رئیس محترم جمهور برای انتصاب وزیر کشاورزی', '  درخواست استیضاح وزیر آموزش و پرورش از مجلس شورای اسلامی ایران', '  درخواست اجرای بند خ ماده ۸۷ قانون برنامه ششم توسعه در خصوص ایثارگران قوه قضائیه']"
8,7,122,7_سابقه_بازنشستگی_۲۵_درصد,"['سابقه', 'بازنشستگی', '۲۵', 'درصد', 'بیمه', 'سال', 'جانبازان', 'سنوات', 'احتساب', 'با']","['  درخواست بازنشستگی با ۲۰ سال سابقه برای بانوان', '  درخواست بازنشستگی خانم\u200cها با ۲۵ سال سابقه کار', '  درخواست بازنشستگی کارمندان دولت با ۲۵ سال سابقه']"
9,8,119,8_فوتبال_تیم_باشگاه_پرسپولیس,"['فوتبال', 'تیم', 'باشگاه', 'پرسپولیس', 'برنامه', 'صدا', 'استقلال', 'عادل', 'شبکه', 'سیما']","['  درخواست از صدا و سیما برای بازگشت عادل فردوسی\u200cپور به برنامه نود', '  درخواست حمایت از تیم فوتبال پرسپولیس', '  درخواست حمایت دولت از باشگاه فوتبال استقلال']"
10,9,90,9_ین_امضا_کمپین_جمع,"['ین', 'امضا', 'کمپین', 'جمع', 'آوری', 'های', '', '', '', '']","['ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا']"
11,10,72,10_تشکیل_انحلال_مهریه_شورای,"['تشکیل', 'انحلال', 'مهریه', 'شورای', 'اصلاح', 'قانون', 'شهر', 'درخواست', 'تأسیس', 'استان']","['  درخواست اصلاح قانون مهریه', '  درخواست اصلاح قانون مهریه', '  درخواست انحلال قانون مهریه']"
12,11,71,11_نه_به_رودخانه_حیوانات,"['نه', 'به', 'رودخانه', 'حیوانات', 'وحش', 'دامن', 'آری', 'بالادست', 'باغ', 'ای']","['  نه به سگ\u200cکشی', '  نه به فروش حیوانات', '  نه به باغ وحش']"
13,12,52,12_اتباع_غیر_مجاز_خارج,"['اتباع', 'غیر', 'مجاز', 'خارج', 'اخراج', 'افغان', 'خروج', 'ورود', 'افغانستانی', 'غیرقانونی']","['  درخواست اخراج اتباع غیر قانونی افغان از ایران', '  درخواست اخراج اتباع افغان غیر مجاز از کشور', '  درخواست کنترل ورود اتباع غیر مجاز افغانستانی و ساماندهی مهاجران غیرقانونی در ایران']"
14,13,52,13_سخت_مشاغل_زیان_آور,"['سخت', 'مشاغل', 'زیان', 'آور', 'شغل', 'زمره', 'قرار', 'گرفتن', 'قرارگرفتن', 'احتساب']","['  درخواست قرار گرفتن شغل اورژانس ۱۱۵ در زمره مشاغل سخت و زیان\u200cآور', '  درخواست قرارگرفتن شغل حسابداری در زمره مشاغل سخت و زیان\u200cآور', '  مطالبه قرار گرفتن شغل کارشناسان بهداشت محیط در زمره مشاغل سخت و زیان\u200cآور']"
15,14,41,14_مترجمان_out_توافق_نامه,"['مترجمان', 'out', 'توافق', 'نامه', 'دولت', 'ایران', '', '', '', '']","['  دولت ایران', 'out', '  توافق\u200cنامه مترجمان']"
16,15,35,15_روز_تقویم_ثبت_عنوان,"['روز', 'تقویم', 'ثبت', 'عنوان', 'ملی', 'اردیبهشت', 'نام', 'رسمی', 'کشور', 'در']","['  درخواست ثبت روز پسر در تقویم ملی', '  درخواست ثبت روز ملی محیط\u200cبان در تقویم رسمی کشور', '  درخواست ثبت روز ملی اورژانس در تقویم رسمی کشور']"
17,16,21,16_تحت_قرار_پوشش_گرفتن,"['تحت', 'قرار', 'پوشش', 'گرفتن', 'بیمه', 'روان', 'خدمات', 'درمانی', 'شناسی', 'نمایندگان']","['  درخواست تحت پوشش بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه', '  درخواست تحت پوشش  بیمه تأمین اجتماعی قرار گرفتن نمایندگان بیمه', '  درخواست تحت پوشش بیمه قرار گرفتن خدمات روان درمانی']"
18,17,12,17_شماره_مورخ_بخشنامه_۱۲,"['شماره', 'مورخ', 'بخشنامه', '۱۲', '۰۵', '۷۹۵۳۴', '۳۰۶۱', 'مورخه', '۰۶', 'رساله']","['  درخواست لغو بخشنامه ۱۰/۷۹۵۳۴ مورخ ۹۸/۱۲/۷ با موضوع دفاع از رساله دکتری تخصصی دانشجویان دانشگاه آزاد', '  اعتراض به بخشنامه جدیدالصدور به شماره ۷۹۵۳۴/۱۰ مورخه ۹۸/۱۲/۰۷ در خصوص دفاع از رساله دکتری', '  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت']"
19,18,12,18_سهام_عدالت_جاماندگان_ثبت,"['سهام', 'عدالت', 'جاماندگان', 'ثبت', 'نام', 'بازماندگان', 'تقاضای', 'امکان', 'نزد', 'پرتفوی']","['  تقاضای  واگذاری سهام عدالت به جاماندگان', '  درخواست ثبت\u200cنام جاماندگان یارانه و سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان سهام عدالت']"
