,Topic,Count,Name,Representation,Representative_Docs
0,-1,4633,-1_درخواست_در_به_از,"['درخواست', 'در', 'به', 'از', 'های', 'برای', 'اعتراض', 'با', 'آزمون', 'رسیدگی']","['  درخواست عدم تصویب طرح اصلاح نظام آموزش پزشکی', '  درخواست جلوگیری از ایجاد سهمیه\u200cهای جدید در پذیرش دانشگاه\u200cها و بازنگری در سایر سهمیه\u200cها', '  اعتراض جمعی از فارغ التحصیلان رشته مهندسی آب (کشاورزی) به نبود این رشته در آزمون استخدامی فراگیر']"
1,0,844,0_دانشگاه_آزاد_دانشجویان_امتحانات,"['دانشگاه', 'آزاد', 'دانشجویان', 'امتحانات', 'علوم', 'برگزاری', 'آزمون', 'ترم', 'پزشکی', 'شهریه']","['  مطالبه برگزاری امتحانات پایان ترم دانشگاه علوم\u200cپزشکی سبزوار به صورت مجازی', '  درخواست برگزاری غیرحضوری امتحانات پایان ترم دانشگاه آزاد اسلامی', '  درخواست برگزاری مجازی آزمون\u200cهای پایان ترم دانشگاه آزاد']"
2,1,774,1_تبدیل_نیروهای_وضعیت_بازنشستگان,"['تبدیل', 'نیروهای', 'وضعیت', 'بازنشستگان', 'کارکنان', 'شرکتی', 'پرورش', 'حقوق', 'آموزش', 'استخدام']","['  درخواست  برقراری فوق\u200cالعاده خاص و  تبدیل وضعیت نیروهای قراردادی، شرکتی و طرحی وزارت بهداشت', '  درخواست تبدیل وضعیت نیروهای شرکتی شهرداری\u200cهای کشور', '  تقاضای تبدیل وضعیت نیروهای شرکتی']"
3,2,714,2_حمایت_سگ_درخواست_از,"['حمایت', 'سگ', 'درخواست', 'از', 'واردات', 'برای', 'قانون', 'تصویب', 'سربازی', 'بیماران']","['  درخواست لغو ممنوعیت واردات خودرو', '  درخواست حمایت از واردات خودرو', '  درخواست تصویب قوانین حمایت از حیوانات']"
4,3,694,3_جاده_روستای_شهرستان_اینترنت,"['جاده', 'روستای', 'شهرستان', 'اینترنت', 'آسفالت', 'احداث', 'راه', 'درخواست', 'شهر', 'بخش']","['  درخواست احداث و تکمیل جاده روستای سیاهو', '  درخواست احداث جاده مناسب برای روستای آذربایجان شرقی', '  درخواست آسفالت شدن جاده روستای کهن ملا از توابع شهرستان سیب و سوران']"
5,4,418,4_در_حقوق_جلوگیری_از,"['در', 'حقوق', 'جلوگیری', 'از', 'های', 'درخواست', 'به', 'اعتراض', 'افزایش', 'تبعیض']","['  درخواست عدالت در پرداخت حقوق کارمندان وزارت کشور', '  درخواست بازنگری در افزایش حقوق کارمندان دولت با توجه به افزایش قیمت\u200cها در سال ۱۴۰۱', '  درخواست عدالت در پرداخت حقوق کارمندان دولت']"
6,5,328,5_دکتر_آقای_ریاست_جناب,"['دکتر', 'آقای', 'ریاست', 'جناب', 'انتخابات', 'جمهوری', 'دعوت', 'عنوان', 'تصدی', 'از']","['  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری ۱۴۰۰', '  دعوت از دکتر سعید جلیلی برای حضور در انتخابات ریاست جمهوری', '  دعوت جامعه حقوقی از جناب آقای دکتر سعید محمد برای حضور در انتخابات ریاست جمهوری']"
7,6,279,6_رسیدگی_وضعیت_مسکن_به,"['رسیدگی', 'وضعیت', 'مسکن', 'به', 'شرکت', 'مشکلات', 'پروژه', 'آلودگی', 'درخواست', 'ملی']","['  درخواست رسیدگی به وضعیت بورس', '  اعتراض به عدم رسیدگی به وضعیت مسکن مهر اقلید', '  درخواست رسیدگی به وضعیت جاده\u200cهای کشور']"
8,7,260,7_بلوچستان_سیستان_استان_بنزین,"['بلوچستان', 'سیستان', 'استان', 'بنزین', 'استاندار', 'تشکیل', 'انحلال', 'شهرستان', 'بومی', 'درخواست']","['  اعتراض به تقسیم استان سیستان و بلوچستان', '  درخواست افزایش سوخت بنزین در سیستان و بلوچستان', '  درخواست اصلاح سهمیه بنزین سیستان و بلوچستان']"
9,8,149,8_اعتراض_خودرو_تحویل_خودروی,"['اعتراض', 'خودرو', 'تحویل', 'خودروی', 'قیمت', 'به', 'سایپا', 'عدم', 'مخالفت', 'تأخیر']","['  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو', '  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو', '  اعتراض به عدم تحویل خودرو توسط شرکت مدیران خودرو']"
