,Topic,Count,Name,Representation,Representative_Docs
0,-1,5041,-1_درخواست_به_در_از,"['درخواست', 'به', 'در', 'از', 'های', 'اعتراض', 'برای', 'با', 'دانشگاه', 'رسیدگی']","['  درخواست از وزیر محترم بهداشت جهت برقراری امتیاز مبارزه با کرونا برای کادر بهداشت در آزمون استخدامی', '  تقاضای تعویق زمان برگزاری آزمون استخدامی دانشگاه\u200cهای علوم پزشکی کشور', '  اعتراض به عدم رسیدگی به وضعیت کشاورزان']"
1,0,5423,0_درخواست_به_در_از,"['درخواست', 'به', 'در', 'از', 'های', 'برای', 'دانشگاه', 'با', 'رسیدگی', 'حقوق']","['  درخواست رسیدگی به مشکلات دانشجویان دانشگاه آزاد واحد تهران جنوب', '  اعتراض دانشجویان رشته دامپزشکی دانشگاه آزاد به افزایش شهریه\u200cها', '  درخواست برگزاری امتحانات پایان\u200cترم دانشگاه\u200cها به صورت مجازی']"
2,1,194,1_دکتر_آقای_عنوان_جناب,"['دکتر', 'آقای', 'عنوان', 'جناب', 'تصدی', 'انتصاب', 'حمایت', 'از', 'وزارت', 'ریاست']","['  حمایت از آقای دکتر اسماعیل جلیلی برای انتصاب در بنیاد شهید و امور ایثارگران', '  حمایت از جناب آقای دکتر سید محمد حسینی جهت تصدی وزارت علوم', '  درخواست انتصاب دکتر حسن کامران به عنوان رئیس بنیاد شهید و امور ایثارگران از جناب آقای دکتر مسعود پزشکیان']"
3,2,120,2_نه_به_پویش_کمپین,"['نه', 'به', 'پویش', 'کمپین', 'امتحانات', 'حضوری', 'انتقام', 'رودخانه', 'با', 'ای']","['  نه به فروش حیوانات', '  پویش نه به گرانی', '  نه به امتحانات حضوری دانشگاه\u200cها']"
4,3,90,3_ین_امضا_کمپین_جمع,"['ین', 'امضا', 'کمپین', 'جمع', 'آوری', 'های', '', '', '', '']","['ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا']"
5,4,41,4_مترجمان_out_توافق_نامه,"['مترجمان', 'out', 'توافق', 'نامه', 'دولت', 'ایران', '', '', '', '']","['  دولت ایران', 'out', '  توافق\u200cنامه مترجمان']"
6,5,39,5_فیلتر_رفع_فیلترینگ_تلگرام,"['فیلتر', 'رفع', 'فیلترینگ', 'تلگرام', 'یوتیوب', 'دیسکورد', 'درخواست', 'بازی', 'روبیکا', 'اکانت']","['  درخواست رفع فیلتر تلگرام', '  درخواست رفع فیلتر تلگرام', '  درخواست رفع فیلتر تلگرام']"
7,6,32,6_روز_تقویم_ثبت_عنوان,"['روز', 'تقویم', 'ثبت', 'عنوان', 'ملی', 'اردیبهشت', 'نام', 'رسمی', 'در', 'به']","['  درخواست ثبت روز ملی محیط\u200cبان در تقویم رسمی کشور', '  درخواست ثبت  ۲۵ خرداد ماه  به عنوان روز ملی گل در تقویم رسمی کشور', '  درخواست ثبت روز پسر در تقویم ملی']"
8,7,12,7_شماره_مورخ_بخشنامه_۱۲,"['شماره', 'مورخ', 'بخشنامه', '۱۲', '۰۵', '۷۹۵۳۴', '۳۰۶۱', 'مورخه', '۰۶', 'ابطال']","['  درخواست لغو بخشنامه ۱۰/۷۹۵۳۴ مورخ ۹۸/۱۲/۷ با موضوع دفاع از رساله دکتری تخصصی دانشجویان دانشگاه آزاد', '  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت', '  اعتراض به بخشنامه جدیدالصدور به شماره ۷۹۵۳۴/۱۰ مورخه ۹۸/۱۲/۰۷ در خصوص دفاع از رساله دکتری']"
9,8,12,8_سهام_عدالت_جاماندگان_ثبت,"['سهام', 'عدالت', 'جاماندگان', 'ثبت', 'نام', 'بازماندگان', 'تقاضای', 'امکان', 'خرید', 'پرتفوی']","['  تقاضای  واگذاری سهام عدالت به جاماندگان', '  درخواست ثبت\u200cنام جاماندگان یارانه و سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان سهام عدالت']"
