,Topic,Count,Name,Representation,Representative_Docs
0,-1,4777,-1_درخواست_در_به_از,"['درخواست', 'در', 'به', 'از', 'های', 'اعتراض', 'برای', 'با', 'رسیدگی', 'دانشگاه']","['  درخواست حذف دروس عمومی از آزمون\u200cهای استخدامی', '  درخواست جلوگیری از ایجاد سهمیه\u200cهای جدید در پذیرش دانشگاه\u200cها و بازنگری در سایر سهمیه\u200cها', '  درخواست رسیدگی به وضعیت عدم وجود مراکز درمانی تخصصی و فوق تخصصی در استان بوشهر با توجه به منابع ملی گاز و نفت در این استان']"
1,0,3059,0_درخواست_دانشگاه_به_های,"['درخواست', 'دانشگاه', 'به', 'های', 'آزمون', 'در', 'اعتراض', 'حقوق', 'افزایش', 'از']","['  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی', '  درخواست افزایش حقوق بازنشستگان تأمین اجتماعی', '  درخواست اساتید و کارکنان دانشگاه آزاد بروجرد پیرامون همسان\u200cسازی حقوق اعضای هیئت علمی و کارمندان دانشگاه آزاد اسلامی با دانشگاه\u200cهای دولتی']"
2,1,1637,1_درخواست_به_رسیدگی_شهرستان,"['درخواست', 'به', 'رسیدگی', 'شهرستان', 'جاده', 'روستای', 'در', 'شهر', 'از', 'اینترنت']","['  درخواست رسیدگی به کیفیت جاده\u200cهای بین شهری استان سیستان و بلوچستان', '  درخواست رسیدگی به وضعیت اینترنت روستای گدامدر شهرستان مهرستان', '  درخواست رسیدگی به مشکل پوشش اینترنت روستای پیر شهرستان سرباز']"
3,2,452,2_از_دکتر_حمایت_پزشکیان,"['از', 'دکتر', 'حمایت', 'پزشکیان', 'درخواست', 'جلیلی', 'جمعی', 'رئیس', 'به', 'انقلاب']","['  حمایت جمعی از جامعه پزشکی از دکتر سعید جلیلی', '  حمایت جمعی از جامعه فرهنگیان کشور از دکتر سعید جلیلی', '  حمایت از دکتر پزشکیان']"
4,3,405,3_دکتر_آقای_جناب_ریاست,"['دکتر', 'آقای', 'جناب', 'ریاست', 'از', 'عنوان', 'جمهوری', 'انتخابات', 'حمایت', 'دعوت']","['  درخواست از جناب آقای دکتر محمدباقر قالیباف برای حضور در انتخابات ریاست جمهوری', '  دعوت از جناب آقای دکتر محمد درویش جهت ثبت نام در انتخابات ریاست جمهوری', '  دعوت جامعه حقوقی از جناب آقای دکتر سعید محمد برای حضور در انتخابات ریاست جمهوری']"
5,4,192,4_سابقه_بازنشستگی_اتباع_جانبازان,"['سابقه', 'بازنشستگی', 'اتباع', 'جانبازان', 'درخواست', '۲۵', 'سال', 'سنوات', 'بیمه', 'درصد']","['  درخواست ارائه مزایای جانبازان بالای ۵۰ درصد به جانبازان زیر ۲۵ درصد با سابقه\u200cی بالای حضور در جبهه', '  درخواست بازنشستگی خانم\u200cها با ۲۵ سال سابقه کار', '  درخواست بازنشستگی کارمندان دولت با ۲۵ سال سابقه']"
6,5,141,5_نه_به_پویش_را,"['نه', 'به', 'پویش', 'را', 'کمپین', 'دهید', 'کنید', 'امتحانات', 'حضوری', 'نجات']","['  نه به فروش حیوانات', '  پویش نه به گرانی', '  نه به امتحانات حضوری دانشگاه\u200cها']"
7,6,90,6_ین_امضا_کمپین_جمع,"['ین', 'امضا', 'کمپین', 'جمع', 'آوری', 'های', '', '', '', '']","['ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا', 'ین کمپین\u200cهای جمع آوری امضا']"
8,7,72,7_سخت_مشاغل_زیان_قرار,"['سخت', 'مشاغل', 'زیان', 'قرار', 'آور', 'شغل', 'گرفتن', 'زمره', 'تحت', 'پوشش']","['  درخواست  قرار گرفتن شغل معلمان ابتدایی در لیست مشاغل سخت و زیان\u200cآور', '  درخواست قرار گرفتن شغل اورژانس ۱۱۵ در زمره مشاغل سخت و زیان\u200cآور', '  مطالبه قرار گرفتن شغل کارشناسان بهداشت محیط در زمره مشاغل سخت و زیان\u200cآور']"
9,8,44,8_وزیر_پرورش_آموزش_فرهنگ,"['وزیر', 'پرورش', 'آموزش', 'فرهنگ', 'ارشاد', 'استیضاح', 'میراث', 'دستی', 'گردشگری', 'اسلامی']","['  درخواست استیضاح وزیر آموزش و پرورش', '  درخواست استیضاح وزیر آموزش و\u200c پرورش', '  درخواست استیضاح وزیر آموزش و پرورش']"
10,9,41,9_تورم_اجاره_افزایش_بهای,"['تورم', 'اجاره', 'افزایش', 'بهای', 'حقوق', 'نرخ', 'اساس', 'بر', 'متناسب', 'کارمندان']","['  درخواست افزایش حقوق کارمندان دولت متناسب با افزایش تورم', '  درخواست افزایش حقوق کارمندان دولت بر اساس تورم', '  درخواست افزایش حقوق کارکنان و کارمندان دولت بر اساس نرخ تورم']"
11,10,41,10_مترجمان_out_توافق_نامه,"['مترجمان', 'out', 'توافق', 'نامه', 'دولت', 'ایران', '', '', '', '']","['  دولت ایران', 'out', '  توافق\u200cنامه مترجمان']"
12,11,29,11_روز_تقویم_ثبت_عنوان,"['روز', 'تقویم', 'ثبت', 'عنوان', 'ملی', 'اردیبهشت', 'رسمی', 'کشور', 'در', 'نام']","['  درخواست ثبت روز ملی محیط\u200cبان در تقویم رسمی کشور', '  درخواست ثبت  ۲۵ خرداد ماه  به عنوان روز ملی گل در تقویم رسمی کشور', '  درخواست ثبت روز ملی اورژانس در تقویم رسمی کشور']"
13,12,12,12_شماره_مورخ_بخشنامه_۱۲,"['شماره', 'مورخ', 'بخشنامه', '۱۲', '۰۵', '۷۹۵۳۴', '۳۰۶۱', 'مورخه', '۰۶', 'رساله']","['  درخواست لغو بخشنامه ۱۰/۷۹۵۳۴ مورخ ۹۸/۱۲/۷ با موضوع دفاع از رساله دکتری تخصصی دانشجویان دانشگاه آزاد', '  درخواست اعمال ماده ۹۲ «قانون دیوان عدالت اداری» در خصوص بخشنامه شماره ۳۰۶۱ مورخ ۱۴۰۳/۰۵/۰۳ معاون آموزشی وزارت بهداشت', '  اعتراض به بخشنامه جدیدالصدور به شماره ۷۹۵۳۴/۱۰ مورخه ۹۸/۱۲/۰۷ در خصوص دفاع از رساله دکتری']"
14,13,12,13_سهام_عدالت_جاماندگان_ثبت,"['سهام', 'عدالت', 'جاماندگان', 'ثبت', 'نام', 'بازماندگان', 'تقاضای', 'امکان', 'نزد', 'پرتفوی']","['  تقاضای  واگذاری سهام عدالت به جاماندگان', '  درخواست ثبت\u200cنام جاماندگان یارانه و سهام عدالت', '  درخواست ثبت\u200cنام جاماندگان سهام عدالت']"
